,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
798,[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],nan,nan,nan,[0.955418192],[2000.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.299177264,-3758.212783,5.948068906,0.996177489
945,[Cu]OB(C1=C(C=C(C=C1C)C)C)OCCOCCOCC[Au],nan,nan,nan,[0.906488664],[2000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.359518244,-2113.55703,2.064521641,0.980028334
996,[Cu]OB(C1=C(C=C(C=C1C)C)C)OCCOCCOCCOCC[Au],nan,nan,nan,[0.970424432],[2000.0],[Li+].[O-][Cl+3]([O-])([O-])[O-],0.287614591,-2674.596999,3.717948431,0.982291128
1044,[Cu]OB(C1=C(C=C(C=C1C)C)C)OCCOCCOCCOCC[Au],nan,nan,nan,[0.923765169],[2000.0],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.287614587,-3170.164209,4.54781929,0.994913005
1585,[Cu]SCCSCCOCCCCOC[Au],nan,nan,nan,[0.885576504],[6884.200628],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.450306459,-2277.266166,1.714229615,0.988246121
1605,[Cu]SCCCCSCCOCCCCOC[Au],nan,nan,nan,[0.89708113],[8253.375507],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.399836408,-2124.342564,1.446233551,0.996406172
1624,[Cu]SCCCCCCSCCOCCCCOC[Au],nan,nan,nan,[0.906483662],[10569.07636],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.359539459,-2017.410182,1.107599537,0.997929857
1643,[Cu]SCCCCCCCCSCCOCCCCOC[Au],nan,nan,nan,[0.914312003],[12552.76042],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.326621387,-2113.893666,0.940861517,0.994231298
1664,[Cu]SCCSCCOCCOCCOC[Au],nan,nan,nan,[0.89243735],[11189.09742],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.420051756,-2365.342615,2.483716509,0.989932239
1682,[Cu]SCCSCCSCCOCCOCCOC[Au],nan,nan,nan,[0.912189065],[11624.70168],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.335492479,-2563.148303,2.391902828,0.993645227
1694,[Cu]SCCSCCOCCOCCOCCOC[Au],nan,nan,nan,[0.907674796],[10155.31623],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.354494131,-2588.648615,2.77175079,0.99410149
1714,[Cu]SCCSCCSCCOCCOCCOCCOC[Au],nan,nan,nan,[0.922615439],[8894.482701],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.292316045,-3185.434293,4.26220161,0.966449867
1734,[Cu]SCCOCCOCCSCCOCCOCCOCCOC[Au],nan,nan,nan,[0.928057661],[11104.33641],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.270164725,-2160.949872,1.751354482,0.992984844
1750,[Cu]S(=O)(=O)CCOCCOCCS(=O)(=O)CCOCCOCCOCCOC[Au],nan,nan,nan,[0.938002933],[13023.72616],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.230348823,-3116.114714,3.646399222,0.974212722
1765,[Cu]OCC(CC)(C(NC(COCCC#N)(COCCC#N)COCCC#N)=O)C[Au],nan,nan,nan,[0.553875116],[3922.021362],F[B-](F)(F)F.[Li+],8.567010967,-1386.90016,1.035330348,0.99698508
1771,[Cu]OCC(CC)(C(NC(COCCC#N)(COCCC#N)COCCC#N)=O)C[Au],nan,nan,nan,[0.713998017],[3922.021362],F[B-](F)(F)F.[Li+],4.260462701,-1927.011956,1.893354945,0.992541629
1777,[Cu]OCC(CC)(COCCC#N)C[Au],nan,nan,nan,[0.616259977],[8624.42869],F[B-](F)(F)F.[Li+],6.623047391,-2147.092193,0.656509532,0.997102797
1783,[Cu]OCC(CC)(COCCC#N)C[Au],nan,nan,nan,[0.763546479],[8624.42869],F[B-](F)(F)F.[Li+],3.293783392,-2920.560507,2.475025061,0.968121629
1840,[Cu]OCC[Au],nan,nan,nan,[0.9],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.136519984,-8491.430072,17.55041787,0.936389891
1841,[Cu]OCC[Au],nan,nan,nan,[0.8],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.307169964,-7971.806875,16.55791372,0.93884872
1842,[Cu]OCC[Au],nan,nan,nan,[0.6],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.819119905,-6527.70022,13.0399049,0.948242752
1843,[Cu]OCC[Au],nan,nan,nan,[0.5],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],1.228679857,-2690.526142,1.792763592,0.834810216
1844,[Cu]OCC[Au],nan,nan,nan,[0.4],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],1.843019786,-8561.240738,18.74082508,0.957990246
1845,[Cu]OCC[Au],nan,nan,nan,[0.2],[5000000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],4.91471943,-8497.690469,18.12819647,0.9852434
1883,[Cu]OCC[Au],nan,nan,nan,[0.849512086],[5000000.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.135785908,-4284.160077,7.096122002,0.823005246
1894,[Cu]OCC[Au],nan,nan,nan,[0.5],[1000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],1.228679857,-739.0519195,-2.956500303,0.726108255
1906,[Cu]OCC[Au],nan,nan,nan,[0.849512086],[1000.0],O=S(=O)([O-])C(F)(F)F.[Li+],1.135785908,-1798.912042,1.782117444,0.692504484
1918,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],nan,nan,nan,[0.5],[1000.0],Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],1.228679857,-2268.499086,0.344489424,0.984815194
1929,[Cu]CC(COOCCOCCOCCOCCOC)(C)[Au],nan,nan,nan,[0.972729764],[1000.0],O=S(=O)([O-])C(F)(F)F.[Li+],0.179746775,-3603.601597,6.034758042,0.973289212
